id,generic_name,status,therapeutic_category,dosage_form,company_name,initial_posting_date,brand_name,route
1,Hydromorphone Hydrochloride Injection,Current,Analgesia/Addiction,Injection,"Hospira, Inc., a Pfizer Company",10/31/2017,HYDROMORPHONE HYDROCHLORIDE,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS"
4,"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Current,"Anesthesia, Pediatric",Injection,"Hospira, Inc., a Pfizer Company",02/22/2012,LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE,"EPIDURAL, INFILTRATION, INTRACAUDAL, PERINEURAL"
5,Riluzole Oral Suspension,Current,Neurology,Oral Suspension,"EDW Pharma, Inc. (formerly Italfarmaco Pharma, Inc.)",01/26/2024,TEGLUTIK,ORAL
6,Adalimumab-adaz Injection,To Be Discontinued,Rheumatology,Injection,Sandoz Inc.,01/13/2026,HYRIMOZ,
7,Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Capsule,"Mylan Pharmaceuticals Inc., a Viatris Company",07/14/2023,LISDEXAMFETAMINE DIMESYLATE,ORAL
8,"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Current,Anesthesia,Injection,"Hospira, Inc., a Pfizer Company",02/20/2018,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,"EPIDURAL, INTRACAUDAL, PERINEURAL"
9,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,Tablet,Sandoz Inc.,10/12/2022,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",ORAL
10,Dextrose Monohydrate 5% Injection,Current,"Endocrinology/Metabolism, Gastroenterology, Other, Pediatric",Injection,Otsuka ICU Medical LLC,02/14/2022,DEXTROSE,INTRAVENOUS
11,"Potassium Chloride Tablet, Extended Release",To Be Discontinued,"Endocrinology/Metabolism, Gastroenterology",Tablet,"Teva Pharmaceuticals USA, Inc.",11/21/2025,POTASSIUM CHLORIDE,ORAL
12,Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Capsule,Amneal Pharmaceuticals,07/14/2023,LISDEXAMFETAMINE DIMESYLATE,ORAL
14,Carboplatin Injection,Current,Oncology,Injection,Accord Healthcare Inc.,04/28/2023,CARBOPLATIN,INTRAVENOUS
15,Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Capsule,Rhodes Pharmaceuticals L.P.,01/11/2024,LISDEXAMFETAMINE DIMESYLATE,ORAL
16,"Donepezil Hydrochloride; Memantine Hydrochloride Capsule, Extended Release",To Be Discontinued,Neurology,"Capsule, Extended Release",Amneal Pharmaceuticals,06/15/2026,MEMANTINE AND DONEPEZIL HYDROCHLORIDES EXTENDED-RELEASE,ORAL
17,Promethazine Hydrochloride Injection,Current,"Analgesia/Addiction, Gastroenterology, Pediatric, Pulmonary/Allergy",Injection,"Hikma Pharmaceuticals USA, Inc.",11/21/2023,PROMETHAZINE HYDROCHLORIDE,INTRAMUSCULAR
18,"Lisdexamfetamine Dimesylate Tablet, Chewable",Current,Psychiatry,"Tablet, Chewable",Novadoz Pharmaceuticals LLC,07/14/2023,LISDEXAMFETAMINE DIMESYLATE,ORAL
19,Hydromorphone Hydrochloride Injection,Current,Analgesia/Addiction,Injection,"Fresenius Kabi USA, LLC",10/31/2017,DILAUDID,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS"
20,"Cefotaxime Sodium Powder, for Solution",Current,"Anti-Infective, Pediatric","Powder, For Solution","Hikma Pharmaceuticals USA, Inc.",02/17/2015,CEFOTAXIME,"INTRAMUSCULAR, INTRAVENOUS"
21,Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Capsule,Takeda Pharmaceuticals USA Inc.,07/14/2023,VYVANSE,ORAL
22,"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Current,"Anesthesia, Pediatric",Injection,"Fresenius Kabi USA, LLC",10/14/2016,XYLOCAINE,"INFILTRATION, PERINEURAL"
24,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,Tablet,"Teva Pharmaceuticals USA, Inc.",10/12/2022,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",ORAL
26,Dexmedetomidine Hydrochloride Injection,Current,Anesthesia,Injection,Baxter Healthcare,04/10/2020,DEXMEDETOMIDINE HYDROCHLORIDE IN 0.9% SODIUM CHLORIDE,INTRAVENOUS
27,Promethazine Hydrochloride Injection,Current,"Analgesia/Addiction, Gastroenterology, Other, Pulmonary/Allergy",Injection,"XGen Pharmaceuticals DJB, Inc.",11/21/2023,PROMETHAZINE HYDROCHLORIDE,"INTRAMUSCULAR, INTRAVENOUS"
28,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,Tablet,SpecGx LLC,10/12/2022,DEXTROAMPHETAMINE SACCHARATE AND AMPHETAMINE ASPARTATE AND DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE,ORAL
29,Albuterol Sulfate Solution,Current,"Pediatric, Pulmonary/Allergy",Solution,"Rising Pharma Holdings, Inc.",10/25/2022,ALBUTEROL SULFATE,RESPIRATORY (INHALATION)
30,Peginterferon alfa-2a Injection,Current,Antiviral,Injection,pharmaand GmbH (pharma&),01/24/2025,PEGASYS,SUBCUTANEOUS
32,Clindamycin Hydrochloride Capsule,To Be Discontinued,Anti-Infective,Capsule,Pfizer Inc.,02/25/2026,CLEOCIN HYDROCHLORIDE,ORAL
34,Flurazepam Hydrochloride Capsule,Current,"Neurology, Other",Capsule,Chartwell Molecular Holdings LLC,08/03/2022,FLURAZEPAM HYDROCHLORIDE,ORAL
35,Sterile Water Irrigant,Current,"Gastroenterology, Other, Pediatric",Irrigant,B. Braun Medical Inc.,04/28/2023,STERILE WATER,IRRIGATION
37,"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Current,"Anesthesia, Pediatric",Injection,"Fresenius Kabi USA, LLC",10/14/2016,XYLOCAINE MPF,"EPIDURAL, INFILTRATION, INTRACAUDAL, PERINEURAL"
38,Clonazepam Tablet,Current,"Neurology, Pediatric, Psychiatry",Tablet,"Teva Pharmaceuticals USA, Inc.",03/10/2023,CLONAZEPAM,ORAL
39,Nitrofurantoin Oral Suspension,To Be Discontinued,"Anti-Infective, Other",Oral Suspension,Amneal Pharmaceuticals,04/10/2026,NITROFURANTOIN,ORAL
40,Gadobutrol Injection,To Be Discontinued,Medical Imaging,Injection,"Jiangsu Hengrui Pharmaceuticals Co., Ltd.",06/30/2026,GADOBUTROL,INTRAVENOUS
41,Tafamidis Meglumine Capsule,To Be Discontinued,Cardiovascular,Capsule,Pfizer Inc.,09/29/2025,VYNDAQEL,ORAL
44,Dacomitinib Tablet,To Be Discontinued,Oncology,Tablet,Pfizer Inc.,06/08/2026,VIZIMPRO,ORAL
45,Paricalcitol Capsule,To Be Discontinued,Endocrinology/Metabolism,Capsule,AbbVie Inc.,10/07/2025,ZEMPLAR,ORAL
46,Glyburide Tablet,To Be Discontinued,Endocrinology/Metabolism,Tablet,Sanofi-Aventis U.S. LLC,08/10/2026,GLYBURIDE,ORAL
47,Triamcinolone Hexacetonide Injection,Current,Rheumatology,Injection,Medexus,05/04/2021,HEXATRIONE 2%,INTRA-ARTICULAR
48,Nitroglycerin Ointment,To Be Discontinued,Analgesia/Addiction,Ointment,AbbVie Inc.,04/14/2026,RECTIV,RECTAL
49,Fluphenazine Hydrochloride Tablet,To Be Discontinued,"Neurology, Psychiatry",Tablet,"Upsher-Smith Laboratories, LLC",09/18/2025,FLUPHENAZINE HYDROCHLORIDE,ORAL
50,Dextrose Monohydrate 5% Injection,Current,"Endocrinology/Metabolism, Gastroenterology, Other, Pediatric",Injection,Baxter Healthcare,02/14/2022,DEXTROSE,INTRAVENOUS
51,Rocuronium Bromide Injection,Current,Anesthesia,Injection,Sagent Pharmaceuticals,02/15/2023,ROCURONIUM BROMIDE,INTRAVENOUS
52,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,Tablet,"Sunrise Pharmaceutical, Inc.",10/12/2022,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",ORAL
53,"Calcium Chloride; Dextrose; Magnesium Chloride; Sodium Chloride; Sodium Lactate Intraperitoneal Injection, Solution",To Be Discontinued,Renal,Solution,Vantive US Healthcare LLC,08/03/2026,DIANEAL LOW CALCIUM WITH DEXTROSE,INTRAPERITONEAL
54,Quinapril/Hydrochlorothiazide Tablet,Current,Cardiovascular,Tablet,Chartwell Molecular Holdings LLC,01/19/2023,QUINAPRIL AND HYDROCHLOROTHIAZIDE,ORAL
55,"Fluvastatin Sodium Tablet, Extended Release",To Be Discontinued,Cardiovascular,Tablet,Sandoz Inc.,01/27/2026,FLUVASTATIN SODIUM ER,ORAL
56,Dexmedetomidine Hydrochloride Injection,Current,Anesthesia,Injection,Pfizer Inc.,04/10/2020,PRECEDEX,INTRAVENOUS
58,Hydrocortisone Acetate Suppository,To Be Discontinued,"Analgesia/Addiction, Other",Suppository,Padagis US LLC,07/23/2026,HYDROCORTISONE ACETATE,RECTAL
59,Bupivacaine Hydrochloride Injection,Current,Anesthesia,Injection,"Hospira, Inc., a Pfizer Company",02/20/2018,BUPIVACAINE SPINAL,SUBARACHNOID
60,Promethazine Hydrochloride Injection,Current,"Analgesia/Addiction, Gastroenterology, Other, Pulmonary/Allergy",Injection,"XGen Pharmaceuticals DJB, Inc.",11/21/2023,PROMETHAZINE HYDROCHLORIDE,"INTRAMUSCULAR, INTRAVENOUS"
62,Dexmedetomidine Hydrochloride Injection,Current,Anesthesia,Injection,"Hikma Pharmaceuticals USA, Inc.",04/10/2020,DEXMEDETOMIDINE HCL,INTRAVENOUS
63,Quinapril Hydrochloride Tablet,Current,Cardiovascular,Tablet,Aurobindo Pharma USA,01/19/2023,QUINAPRIL,ORAL
64,Icatibant Acetate Injection,To Be Discontinued,Hematology,Injection,"Fresenius Kabi USA, LLC",05/07/2026,ICATIBANT,SUBCUTANEOUS
65,Bupivacaine Hydrochloride Injection,To Be Discontinued,Anesthesia,Injection,Kindos Pharmaceuticals Co. Ltd.,05/05/2026,BUPIVACAINE HYDROCHLORIDE,PERINEURAL
67,Dexmedetomidine Hydrochloride Injection,Current,Anesthesia,Injection,Pfizer Inc.,04/10/2020,PRECEDEX,INTRAVENOUS
68,Dexmedetomidine Hydrochloride Injection,Current,Anesthesia,Injection,Pfizer Inc.,04/10/2020,PRECEDEX,INTRAVENOUS
69,Rocuronium Bromide Injection,Current,Anesthesia,Injection,"Fresenius Kabi USA, LLC",02/15/2023,ROCURONIUM,INTRAVENOUS
71,Bupivacaine Hydrochloride Injection,Current,Anesthesia,Injection,Aspiro Pharma Limited,02/20/2018,BUPIVACAINE HYDROCHLORIDE,"EPIDURAL, RETROBULBAR"
72,Quinapril Hydrochloride Tablet,Current,Cardiovascular,Tablet,Aurobindo Pharma USA,01/19/2023,QUINAPRIL,ORAL
73,Dextrose Monohydrate 5% Injection,Current,"Endocrinology/Metabolism, Gastroenterology, Other, Pediatric",Injection,B. Braun Medical Inc.,02/14/2022,DEXTROSE,INTRAVENOUS
74,Etomidate Injection,Current,Anesthesia,Injection,"Hikma Pharmaceuticals USA, Inc.",10/05/2022,ETOMIDATE,INTRAVENOUS
75,Azithromycin Injection,To Be Discontinued,Anti-Infective,Injection,Pfizer Inc.,01/20/2026,ZITHROMAX,INTRAVENOUS
76,Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Capsule,SpecGx LLC,07/14/2023,LISDEXAMFETAMINE DIMESYLATE,ORAL
77,Amino Acid Injection,Current,Gastroenterology,Injection,Baxter Healthcare,12/08/2020,PREMASOL - SULFITE-FREE (AMINO ACID),INTRAVENOUS
78,Sodium Bicarbonate Injection,Current,"Endocrinology/Metabolism, Gastroenterology, Pediatric",Injection,"Hospira, Inc., a Pfizer Company",03/01/2017,SODIUM BICARBONATE,INTRAVENOUS
79,"Fluvastatin Sodium Tablet, Extended Release",To Be Discontinued,Cardiovascular,Tablet,Sandoz Inc.,01/27/2026,LESCOL XL,ORAL
